,C1,C2,C3,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11
0,7,8,9,7,8,9,7,9,9,8,9,9,9,9
1,3,3,2,3,3,3,4,2,4,2,2,3,2,2
